coffee_name,total_score,roaster_location,coffee_origin,roast_level,agtron,est._price,country,prices_raw,ounces_raw,price,ounces,price_per_ounces,agtron_whole,agtron_ground,Price Vs Score
Kebele Village Espresso,94,"Madison, Wisconsin","Yirgacheffe growing region, southern Ethiopia",Medium-Light,52/70,$17.10/12 ounces,southern Ethiopia,$17.10 ,12 ounces,17.1,12,1.425,52,70,
Ethiopia Sidamo Gora Kone,94,"Sacramento, California","Sidamo (also Sidama) growing region, south-central Ethiopia",Medium-Light,59/72,$19.00/12 ounces,south-central Ethiopia,$19.00 ,12 ounces,19,12,1.583333333,59,72,
Gesha Village 1931 Lot 27,94,"Charlottesville, Virginia","Bench-Maji Zone, southern Ethiopia",Medium-Light,60/78,$50.00/8 ounces,southern Ethiopia,$50.00 ,8 ounces,50,8,6.25,60,78,
Gesha Village Natural Lot #19,94,"Yilan, Taiwan","Bench-Maji Zone, southern Ethiopia",Medium-Light,58/80,NT $1200/100 grams,southern Ethiopia,NT $1200,100 grams,1200,3.527399072,340.194,58,80,
Colombia Laderas del Tapias Estate Natural Geisha,94,"I-Lan City, Taiwan","Neira, Caldas Department, Colombia",Medium-Light,52/70,NT $1350/230 grams,Colombia,NT $1350,230 grams,1350,8.113017866,166.3992391,52,70,
Kona Laurina Pointu,94,"Holualoa, Hawaii","Kona, Hawaii",Medium-Light,56/70,$50.00/ 7 ounces,Hawaii,$50.00 , 7 ounces,50,7,7.142857143,56,70,
Colombia Finca La Loma Microlot,94,"Jackson, Mississippi","Huila, Colombia",Medium-Light,58/76,$16.50/12 ounces,Colombia,$16.50 ,12 ounces,16.5,12,1.375,58,76,
Ethiopia Wegida Natural,94,"Viroqua, Wisconsin","Yirgacheffe growing region, southern Ethiopia",Light,62/80,$20.00/12 ounces,southern Ethiopia,$20.00 ,12 ounces,20,12,1.666666667,62,80,
Colombia Antioquia La Papaya Bourbon Chiroso,94,"Kaohsiung City, Taiwan","Antioquia Department, northwest Colombia",Medium-Light,62/76,NT $700/8 ounces,northwest Colombia,NT $700,8 ounces,700,8,87.5,62,76,
Costa Rica Hacienda Tobosi Copey Villa Sarchi Black Honey,94,"Douliou City, Taiwan","Tobosi, Cartago Province, Costa Rica",Medium-Light,52/70,NT $450/220 grams,Costa Rica,NT $450,220 grams,450,7.760277959,57.98761364,52,70,
All Rise,94,"Roanoke, Virginia and Floyd, Virginia",Ethiopia; Democratic Republic of the Congo,Medium-Light,54/72,$20.00/12 ounces,Ethiopia; Democratic Republic of the Congo,$20.00 ,12 ounces,20,12,1.666666667,54,72,
Taiwan Natural Alishan Zhuo-Wu Farm Geisha,94,"Chia-Yi, Taiwan","Alishan, Chaiyi, Taiwan",Medium-Light,56/72,"NT $1,000/4 ounces",Taiwan,"NT $1,000",4 ounces,1000,4,250,56,72,
El Salvador Geisha Natural,94,"Minneapolis, Minnesota","Chalatenango, El Salvador",Medium-Light,58/74,$16.95/6 ounces,El Salvador,$16.95 ,6 ounces,16.95,6,2.825,58,74,
"DR Congo, Gera Village, SOPACDI",94,"Crystal Lake, Illinois","South Kivu Province, the Democratic Republic of the Congo",Medium-Light,58/76,$21.00/12 ounces,the Democratic Republic of the Congo,$21.00 ,12 ounces,21,12,1.75,58,76,
Colombia San Pedro,94,"Denver, Colorado","Acevedo, Huila Department, Colombia",Medium-Light,56/72,$19.00/12 ounces,Colombia,$19.00 ,12 ounces,19,12,1.583333333,56,72,
Ethiopia Haro Guta Natural,94,"Taipei, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Light,62/80,NT $400/8 ounces,southern Ethiopia,NT $400,8 ounces,400,8,50,62,80,
Ethiopia Sidama Keramo Village,94,"Jersey City, New Jersey","Sidamo (also Sidama) growing region, south-central Ethiopia",Medium-Light,60/76,$25.00/12 ounces,south-central Ethiopia,$25.00 ,12 ounces,25,12,2.083333333,60,76,
Colombia Tolima Geisha,94,"Minneapolis, Minnesota","Tolima, Colombia",Light,62/82,$19.98/4 ounces,Colombia,$19.98 ,4 ounces,19.98,4,4.995,62,82,
Nicaragua La Benedicion SL28 Natural,94,"Minneapolis, Minnesota","Nueva Segovia, Nicaragua",Light,62/80,$19.95/6 ounces,Nicaragua,$19.95 ,6 ounces,19.95,6,3.325,62,80,
Ethiopia Yirgacheffe Kochere Debo,94,"Thermopolis, Wyoming","Yirgacheffe growing region, southern Ethiopia",Medium-Light,54/70,$14.00/12 ounces,southern Ethiopia,$14.00 ,12 ounces,14,12,1.166666667,54,70,
Guatemala Bella Carmona,94,"Crystal Lake, Illinois","Antigua, Guatemala",Medium-Light,58/74,$19.00/12 ounces,Guatemala,$19.00 ,12 ounces,19,12,1.583333333,58,74,
Colombia Finca El Roblar,94,"Jackson, Mississippi","Suaza, Huila, Colombia",Medium-Light,60/76,$16.50/12 ounces,Colombia,$16.50 ,12 ounces,16.5,12,1.375,60,76,
Limu Ethiopia Natural,94,"Des Moines, Iowa","Jimma Zone, Oromia State, Ethiopia",Light,66/85,$14.00/12 ounces,Ethiopia,$14.00 ,12 ounces,14,12,1.166666667,66,85,
Estelí Nicaragua,94,"Washington, D.C.","Dipilto, Nicaragua",Medium-Light,60/79,$15.00/8 ounces,Nicaragua,$15.00 ,8 ounces,15,8,1.875,60,79,
Ethiopia Gera Estate Natural,94,"Harrisonburg, Virginia","Agaro Gera, Jimma Zone, Oromia Region, Ethiopia",Light,67/96,$15.99/12 ounces,Ethiopia,$15.99 ,12 ounces,15.99,12,1.3325,67,96,
Ethiopia Guji Natural,94,"Atlanta, Georgia","Guji Zone, Oromia Region, Southern Ethiopia",Light,64/83,$18.00/12 ounces,Southern Ethiopia,$18.00 ,12 ounces,18,12,1.5,64,83,
Ka’u Red Caturra Peaberry,94,"Kihei, Maui, Hawaii","Wood Valley, Ka’u, Big Island of Hawai’i",Medium-Light,58/78,$50.00/12 ounces,Big Island of Hawai’i,$50.00 ,12 ounces,50,12,4.166666667,58,78,
Sudan Rume,94,"Jersey City, New Jersey","Valle del Cauca growing region, Colombia",Light,62/80,$30.00/6 ounces,Colombia,$30.00 ,6 ounces,30,6,5,62,80,
Nano Genji Agaro Gera,94,"Sacramento, California","Agaro Gera, Jimma Zone, Oromia State, Ethiopia",Medium,52/68,$21.00/12 ounces,Ethiopia,$21.00 ,12 ounces,21,12,1.75,52,68,
Colombia Granja La Esperanza Tres Dragones,94,"Topeka, Kansas","Valle del Cauca growing region, Colombia",Medium-Light,60/74,$23.50/12 ounces,Colombia,$23.50 ,12 ounces,23.5,12,1.958333333,60,74,
Abu Natural Panama Geisha,94,"Los Angeles, California","Boquete, Panama",Medium-Light,58/78,$34.95/6 ounces,Panama,$34.95 ,6 ounces,34.95,6,5.825,58,78,
Costa Rica Luis Campos Anaerobic,94,"Billings, Montana","Tarrazu, Costa Rica",Medium-Light,58/76,$23.00/12 ounces,Costa Rica,$23.00 ,12 ounces,23,12,1.916666667,58,76,
Ethiopia Hassen Ware Akrabi,94,"Spokane, Washington","Guji Zone, Oromia region, southern Ethiopia",Medium-Light,58/74,$15.00/8 ounces,southern Ethiopia,$15.00 ,8 ounces,15,8,1.875,58,74,
Ethiopia Natural Guji PB JackyLai Lot,94,"Chia-Yi, Taiwan","Guji Zone, Oromia region, southern Ethiopia",Medium-Light,56/76,NT $300/8 ounces,southern Ethiopia,NT $300,8 ounces,300,8,37.5,56,76,
Ecuador Quilanga Typica Yeast Fermentation,94,"Minneapolis, Minnesota","Quilanga, Ecuador",Medium-Light,57/73,$22.95/12 ounces,Ecuador,$22.95 ,12 ounces,22.95,12,1.9125,57,73,
Funky Chicken,94,"Floyd, Virginia",Nicaragua; Colombia; East Timor,Medium,46/64,$13.99/12 ounces ($79.00/5 pounds),Nicaragua; Colombia; East Timor,$13.99 ,12 ounces ($79.00/5 pounds),13.99,1279005,1.09E-05,46,64,
Monteblanco Cold Fermentation Geisha,94,"Carlsbad, California","Huila, Colombia",Medium-Light,57/73,$29.00/12 ounces,Colombia,$29.00 ,12 ounces,29,12,2.416666667,57,73,
Indestec El Paraiso,94,"Carlsbad, California","Cauca, Colombia",Medium-Light,58/74,$29.00/12 ounces,Colombia,$29.00 ,12 ounces,29,12,2.416666667,58,74,
Gesha Village Single-Variety Gesha Special Selection,94,"Hong Kong, China","Bench-Maji Zone, southern Ethiopia",Medium-Light,58/74,$30.00/8 ounces,southern Ethiopia,$30.00 ,8 ounces,30,8,3.75,58,74,
Ecuador Finca Carolina Sidra,94,"Minneapolis, Minnesota","Pinchincha, Ecuador",Medium-Light,60/78,$29.95/12 ounces,Ecuador,$29.95 ,12 ounces,29.95,12,2.495833333,60,78,
Colombia Finca Las Margaritas Natural Sudan Rume,94,"Jersey City, New Jersey","Valle del Cauca growing region, Colombia",Medium-Light,55/73,$30.00/6 ounces,Colombia,$30.00 ,6 ounces,30,6,5,55,73,
Karen J Kona Red Bourbon,94,"Holualoa, Hawaii","Holualoa, North Kona growing district, “Big Island” of Hawaii",Medium-Light,58/80,$45.95/8 ounces (currently on sale for $36.76),“Big Island” of Hawaii,$45.95 ,8 ounces (currently on sale for $36.76),45.95,83676,0.000549142,58,80,
Sumatra Pantan Musara,94,"Billings, Montana","Aceh Province, Sumatra, Indonesia",Medium-Light,58/74,$21.00/12 ounces,Indonesia,$21.00 ,12 ounces,21,12,1.75,58,74,
Colombia Finca Lord Baltimore Papayo,94,"Minneapolis, Minnesota","Pitalito, Huila Department, Colombia",Light,62/80,$24.95/12 ounces,Colombia,$24.95 ,12 ounces,24.95,12,2.079166667,62,80,
Kerinci Palompek Sumatra,94,"Madison, Wisconsin","Jambi Province, Sumatra, Indonesia",Medium-Light,58/78,$17.80/12 ounces,Indonesia,$17.80 ,12 ounces,17.8,12,1.483333333,58,78,
Organic Ethiopia Agaro-Nano Challa,94,"Minneapolis, Minnesota","Agaro Gera, Jimma Zone, Oromia State, Ethiopia",Medium-Light,58/74,$22.95/12 ounces,Ethiopia,$22.95 ,12 ounces,22.95,12,1.9125,58,74,
Ka’u Giant Maragogipe,94,"Mountain View, Hawai'i","Ka’u growing region, Big Island of Hawai'i",Medium-Light,54/68,$35.00/10 ounces,Big Island of Hawai'i,$35.00 ,10 ounces,35,10,3.5,54,68,
Sumatra Gayo G1 Triple-Picked Lot 005,94,"Chia-Yi, Taiwan","Aceh Province, Sumatra, Indonesia",Medium-Light,56/74,NT $225/8 ounces,Indonesia,NT $225,8 ounces,225,8,28.125,56,74,
Sumatra Pantan Musara,94,"Minneapolis, Minnesota","Pantan Musara, Gayo, Sumatra, Indonesia",Medium-Light,54/72,$24.95/12 ounces,Indonesia,$24.95 ,12 ounces,24.95,12,2.079166667,54,72,
